Time,Temp_C,SpCond_mS_cm,Cond_mS_cm,TDS_g_L,Sal_ppt,Turbidity_NTU,Chl_ug_L,Experiment,Date,Sonde,Position,Site
14:40:00,20.88,51.85,47.77,33.71,34.17,1.6,2.3,sbs_before,10/25/18,H,Up,Deanza
14:40:01,20.88,51.85,47.77,33.7,34.17,1.6,2.5,sbs_before,10/25/18,H,Up,Deanza
14:40:02,20.88,51.86,47.78,33.71,34.17,1.6,2.4,sbs_before,10/25/18,H,Up,Deanza
14:40:03,20.88,51.86,47.78,33.71,34.17,1.6,2.4,sbs_before,10/25/18,H,Up,Deanza
14:40:04,20.88,51.86,47.78,33.71,34.17,1.6,2.2,sbs_before,10/25/18,H,Up,Deanza
14:40:05,20.88,51.86,47.78,33.71,34.17,1.6,2.4,sbs_before,10/25/18,H,Up,Deanza
14:40:06,20.88,51.86,47.78,33.71,34.17,1.6,2.5,sbs_before,10/25/18,H,Up,Deanza
14:40:08,20.88,51.86,47.78,33.71,34.17,1.6,2.5,sbs_before,10/25/18,H,Up,Deanza
14:40:09,20.88,51.86,47.78,33.71,34.17,1.6,2.6,sbs_before,10/25/18,H,Up,Deanza
14:40:10,20.88,51.86,47.78,33.71,34.17,1.6,2.6,sbs_before,10/25/18,H,Up,Deanza
14:40:11,20.88,51.86,47.78,33.71,34.17,1.6,2.6,sbs_before,10/25/18,H,Up,Deanza
14:40:12,20.88,51.86,47.79,33.71,34.17,1.6,2.6,sbs_before,10/25/18,H,Up,Deanza
14:40:13,20.89,51.86,47.79,33.71,34.17,1.6,2.8,sbs_before,10/25/18,H,Up,Deanza
14:40:14,20.89,51.87,47.79,33.71,34.18,1.6,2.8,sbs_before,10/25/18,H,Up,Deanza
14:40:16,20.89,51.87,47.79,33.71,34.18,1.6,2.9,sbs_before,10/25/18,H,Up,Deanza
14:40:17,20.89,51.87,47.79,33.71,34.18,1.6,2.8,sbs_before,10/25/18,H,Up,Deanza
14:40:18,20.89,51.87,47.8,33.72,34.18,1.6,2.5,sbs_before,10/25/18,H,Up,Deanza
14:40:19,20.89,51.87,47.79,33.71,34.18,1.6,2.4,sbs_before,10/25/18,H,Up,Deanza
14:40:20,20.89,51.86,47.79,33.71,34.17,1.7,2.5,sbs_before,10/25/18,H,Up,Deanza
14:40:21,20.89,51.86,47.79,33.71,34.17,1.7,2.4,sbs_before,10/25/18,H,Up,Deanza
14:40:22,20.89,51.86,47.79,33.71,34.17,1.7,2.3,sbs_before,10/25/18,H,Up,Deanza
14:40:24,20.89,51.86,47.79,33.71,34.17,1.7,2.3,sbs_before,10/25/18,H,Up,Deanza
14:40:25,20.89,51.86,47.79,33.71,34.18,1.7,2.4,sbs_before,10/25/18,H,Up,Deanza
14:40:26,20.89,51.87,47.8,33.71,34.18,1.7,2.3,sbs_before,10/25/18,H,Up,Deanza
14:40:27,20.89,51.87,47.8,33.71,34.18,1.7,2.3,sbs_before,10/25/18,H,Up,Deanza
14:40:28,20.89,51.87,47.8,33.71,34.18,1.7,2.3,sbs_before,10/25/18,H,Up,Deanza
14:40:29,20.89,51.87,47.8,33.72,34.18,1.7,2.5,sbs_before,10/25/18,H,Up,Deanza
14:40:30,20.89,51.87,47.8,33.72,34.18,1.7,2.5,sbs_before,10/25/18,H,Up,Deanza
14:40:32,20.89,51.88,47.81,33.72,34.19,1.7,2.3,sbs_before,10/25/18,H,Up,Deanza
14:40:33,20.89,51.89,47.81,33.73,34.19,1.7,2.6,sbs_before,10/25/18,H,Up,Deanza
14:40:34,20.89,51.89,47.82,33.73,34.19,1.7,2.6,sbs_before,10/25/18,H,Up,Deanza
14:40:35,20.89,51.9,47.82,33.73,34.2,1.7,2.8,sbs_before,10/25/18,H,Up,Deanza
14:40:36,20.89,51.9,47.83,33.73,34.2,1.7,2.9,sbs_before,10/25/18,H,Up,Deanza
14:40:37,20.89,51.9,47.83,33.74,34.2,1.7,2.8,sbs_before,10/25/18,H,Up,Deanza
14:40:38,20.89,51.9,47.83,33.73,34.2,1.7,2.7,sbs_before,10/25/18,H,Up,Deanza
14:40:40,20.89,51.89,47.82,33.73,34.2,1.7,2.6,sbs_before,10/25/18,H,Up,Deanza
14:40:41,20.89,51.89,47.82,33.73,34.2,1.6,2.6,sbs_before,10/25/18,H,Up,Deanza
14:40:42,20.89,51.89,47.82,33.73,34.2,1.6,2.8,sbs_before,10/25/18,H,Up,Deanza
14:40:43,20.89,51.89,47.82,33.73,34.2,1.6,3,sbs_before,10/25/18,H,Up,Deanza
14:40:44,20.89,51.9,47.83,33.73,34.2,1.6,2.9,sbs_before,10/25/18,H,Up,Deanza
14:40:45,20.89,51.89,47.82,33.73,34.2,1.5,3.1,sbs_before,10/25/18,H,Up,Deanza
14:40:46,20.89,51.89,47.82,33.73,34.2,1.5,3.2,sbs_before,10/25/18,H,Up,Deanza
14:40:48,20.89,51.88,47.81,33.72,34.19,1.5,3.1,sbs_before,10/25/18,H,Up,Deanza
14:40:49,20.89,51.88,47.81,33.72,34.19,1.5,3,sbs_before,10/25/18,H,Up,Deanza
14:40:50,20.89,51.88,47.81,33.72,34.19,1.5,2.9,sbs_before,10/25/18,H,Up,Deanza
14:40:51,20.89,51.88,47.81,33.72,34.19,1.5,3,sbs_before,10/25/18,H,Up,Deanza
14:40:52,20.89,51.88,47.81,33.72,34.19,1.5,2.9,sbs_before,10/25/18,H,Up,Deanza
14:40:53,20.9,51.87,47.81,33.72,34.18,1.5,3,sbs_before,10/25/18,H,Up,Deanza
14:40:54,20.9,51.87,47.81,33.72,34.18,1.5,2.9,sbs_before,10/25/18,H,Up,Deanza
14:40:56,20.9,51.87,47.8,33.71,34.18,1.5,2.8,sbs_before,10/25/18,H,Up,Deanza
14:40:57,20.9,51.87,47.8,33.72,34.18,1.5,2.7,sbs_before,10/25/18,H,Up,Deanza
14:40:58,20.9,51.87,47.81,33.72,34.18,1.5,2.4,sbs_before,10/25/18,H,Up,Deanza
14:40:59,20.9,51.87,47.81,33.72,34.18,1.5,2.6,sbs_before,10/25/18,H,Up,Deanza
14:41:00,20.9,51.88,47.81,33.72,34.19,1.5,2.5,sbs_before,10/25/18,H,Up,Deanza
14:41:01,20.9,51.88,47.81,33.72,34.19,1.5,2.5,sbs_before,10/25/18,H,Up,Deanza
14:41:02,20.9,51.88,47.81,33.72,34.19,1.5,2.4,sbs_before,10/25/18,H,Up,Deanza
14:41:04,20.9,51.88,47.82,33.72,34.19,1.5,2.3,sbs_before,10/25/18,H,Up,Deanza
14:41:05,20.9,51.88,47.81,33.72,34.19,1.5,2.3,sbs_before,10/25/18,H,Up,Deanza
14:41:06,20.9,51.88,47.81,33.72,34.18,1.5,2.4,sbs_before,10/25/18,H,Up,Deanza
14:41:07,20.9,51.88,47.81,33.72,34.18,1.5,2.4,sbs_before,10/25/18,H,Up,Deanza
14:41:08,20.9,51.87,47.81,33.72,34.18,1.5,2.3,sbs_before,10/25/18,H,Up,Deanza
14:41:09,20.9,51.87,47.81,33.71,34.18,1.5,2.1,sbs_before,10/25/18,H,Up,Deanza
14:41:10,20.9,51.87,47.81,33.71,34.18,1.5,2,sbs_before,10/25/18,H,Up,Deanza
14:41:12,20.9,51.87,47.81,33.71,34.18,1.5,2,sbs_before,10/25/18,H,Up,Deanza
14:41:13,20.9,51.87,47.81,33.72,34.18,1.5,2,sbs_before,10/25/18,H,Up,Deanza
14:41:14,20.9,51.88,47.81,33.72,34.18,1.5,2,sbs_before,10/25/18,H,Up,Deanza
14:41:15,20.9,51.87,47.81,33.72,34.18,1.5,2.1,sbs_before,10/25/18,H,Up,Deanza
14:41:16,20.9,51.87,47.81,33.72,34.18,1.5,2,sbs_before,10/25/18,H,Up,Deanza
14:41:17,20.9,51.87,47.81,33.72,34.18,1.5,2,sbs_before,10/25/18,H,Up,Deanza
14:41:18,20.9,51.87,47.81,33.71,34.18,1.5,2.1,sbs_before,10/25/18,H,Up,Deanza
14:41:20,20.9,51.86,47.8,33.71,34.18,1.5,2.4,sbs_before,10/25/18,H,Up,Deanza
14:41:21,20.9,51.86,47.8,33.71,34.17,1.5,2.5,sbs_before,10/25/18,H,Up,Deanza
14:41:22,20.9,51.86,47.8,33.71,34.17,1.5,2.7,sbs_before,10/25/18,H,Up,Deanza
